,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,id,mood
0,0.927,0.0712,154.92,0.25,0.269,1.75e-06,0.778,231484,-3.959,0.445,6kNr36b85fjPsGVIIYhHvh,Energetic
1,0.823,0.0929,160.193,0.245,0.377,7.18e-05,0.732,326069,-7.724,0.681,4I91lJWD0Fgbo1KQ0vHJlS,Energetic
2,0.94,0.346,89.95,0.308,0.209,0.0,0.67,208464,-4.404,0.474,7vgWggk85sh6n8iMmMDZVJ,Energetic
3,0.9,0.0362,159.836,0.268,0.345,0.00406,0.741,238913,-3.634,0.665,3R3HWPQBllWXfF2WVNWbHM,Energetic
4,0.925,0.0748,79.932,0.185,0.681,0.000393,0.707,238987,-5.675,0.956,7lnRiEP7BHXuILXNY9MH8f,Energetic
5,0.802,0.0654,86.086,0.1,0.22,0.0,0.449,209640,-5.55,0.741,3RTSwqeT3UDNUhMECiJ99K,Energetic
6,0.677,0.024,112.546,0.266,0.0648,0.00071,0.648,342187,-6.262,0.548,3PK26tdYPKM3ZxEGVFZx7l,Energetic
7,0.794,0.85,75.028,0.428,0.0759,0.0,0.431,267943,-5.78,0.448,5EjVRbQFSLYyeNLlO7qGLY,Energetic
8,0.92,0.213,135.804,0.0564,0.0159,0.000915,0.55,318507,-4.057,0.668,5KGQ4YAwDV8YolJhbFPSuT,Energetic
9,0.802,0.0691,90.007,0.191,0.114,0.00215,0.841,259069,-7.887,0.751,36ZHaZcuMJafQbLKshj28u,Energetic
10,0.895,0.228,154.928,0.17,0.68,0.0282,0.69,251813,-7.328,0.835,2PcgMmmhIZA83kwIYEjR8f,Energetic
11,0.898,0.171,111.747,0.208,0.169,2.64e-05,0.694,295558,-6.007,0.701,0Ps7lWZdj1NAuyAVumclyC,Energetic
12,0.92,0.216,169.944,0.277,0.664,0.000339,0.485,285973,-6.243,0.767,6YcBBZVKYYRirfeAt6BeGA,Energetic
13,0.982,0.191,171.974,0.205,0.535,1.22e-05,0.715,270533,-5.345,0.57,4C9Pw35gedSicSDkS2jm4e,Energetic
14,0.934,0.198,79.428,0.185,0.354,0.000206,0.691,324267,-3.408,0.832,7wduEoLSXYggQqimn5LEP0,Energetic
15,0.976,0.0536,115.006,0.0953,0.324,6.85e-06,0.885,330730,-7.868,0.63,6D7VVW8TBKlvjCS2al8Tjm,Energetic
16,0.835,0.165,77.49,0.375,0.149,0.0403,0.809,204000,-7.454,0.74,5yg2zyq60SDNNskfpLIF53,Energetic
17,0.87,0.279,80.01,0.0877,0.146,1.19e-06,0.702,253987,-8.72,0.808,1fmrCrJofxprNaBotXFlJ7,Energetic
18,0.613,0.0514,130.063,0.155,0.335,3.28e-05,0.93,235233,-6.087,0.829,3Sx241Oti9kDvhb8tgJrj0,Energetic
19,0.802,0.0522,168.013,0.157,0.0647,0.0,0.687,291275,-7.078,0.65,1ISzByfoQ485o30C2UrqKG,Energetic
20,0.809,0.36,103.052,0.381,0.155,1.69e-05,0.676,320107,-10.343,0.546,7AmfSO5DbLqUU5WC8TDYfc,Energetic
21,0.899,0.111,134.933,0.18,0.00546,0.313,0.894,260040,-2.037,0.61,2ylshHMbSFJ2CavXuc8rtN,Energetic
22,0.906,0.0971,125.029,0.18,0.697,0.00482,0.869,299413,-7.386,0.864,7v3lM7VSTCBREBMDPwN6tZ,Energetic
23,0.59,0.0648,102.083,0.287,0.0835,0.000469,0.895,304787,-10.891,0.705,5KvWuqKSFy1isXgfXynAFs,Energetic
24,0.751,0.063,187.592,0.159,0.158,0.0,0.651,274307,-5.757,0.889,7qEHrdtSLnFdNOrRtLmN30,Energetic
25,0.764,0.303,148.019,0.193,0.232,0.00136,0.857,297000,-11.51,0.548,2LE0WvkrIsnfPmmdhtNS2W,Energetic
26,0.849,0.133,128.003,0.0875,0.347,9.77e-06,0.869,296250,-4.301,0.722,52DNHRmzOIvCWONXdvJNX1,Energetic
27,0.86,0.563,90.015,0.0497,0.0182,0.0,0.68,274427,-4.062,0.565,648oRMHWyP5AXrgH43IrUP,Energetic
28,0.933,0.802,154.852,0.263,0.409,1.16e-05,0.672,260129,-3.927,0.816,72m5BKpkdE4tS7VojEVN3a,Energetic
29,0.956,0.0982,94.945,0.255,0.622,1.1e-06,0.709,230253,-4.695,0.664,7w4kFO2slzHCu1qEOMaPkl,Energetic
30,0.824,0.104,83.003,0.137,0.162,2.15e-06,0.489,252200,-3.118,0.917,5PehFqsAZiix8YleUzKVKC,Energetic
31,0.811,0.0727,76.921,0.167,0.326,0.0,0.438,260800,-5.945,0.74,1hTCb3vpf1AcQxpxkuYxCV,Energetic
32,0.896,0.175,85.032,0.295,0.483,0.0,0.659,227680,-4.356,0.864,3kKHUvSrR4wx3UhRb5bXaH,Energetic
33,0.906,0.103,152.84,0.115,0.124,0.164,0.581,282000,-7.15,0.943,6QrWAimzAR8F1JrMGhKlRm,Energetic
